Chromosome	Position(bp)	Rate(cM/Mb)
chr3L	50000	0.000000
chr3L	150000	0.000000
chr3L	250000	0.207600
chr3L	350000	0.899900
chr3L	450000	0.415300
chr3L	550000	0.415300
chr3L	650000	1.315200
chr3L	750000	2.422900
chr3L	850000	1.453700
chr3L	950000	1.315200
chr3L	1050000	2.699800
chr3L	1150000	2.284400
chr3L	1250000	1.661400
chr3L	1350000	1.522900
chr3L	1450000	3.668900
chr3L	1550000	3.530500
chr3L	1650000	1.661400
chr3L	1750000	1.384500
chr3L	1850000	3.184300
chr3L	1950000	3.945800
chr3L	2050000	1.453700
chr3L	2150000	4.845800
chr3L	2250000	2.007500
chr3L	2350000	2.076700
chr3L	2450000	1.246000
chr3L	2550000	4.430400
chr3L	2650000	2.769000
chr3L	2750000	5.468800
chr3L	2850000	0.969100
chr3L	2950000	2.007500
chr3L	3050000	1.176800
chr3L	3150000	1.315200
chr3L	3250000	2.076700
chr3L	3350000	1.246000
chr3L	3450000	2.215200
chr3L	3550000	1.453700
chr3L	3650000	1.107600
chr3L	3750000	4.084300
chr3L	3850000	4.499600
chr3L	3950000	3.599700
chr3L	4050000	2.422900
chr3L	4150000	2.838200
chr3L	4250000	2.284400
chr3L	4350000	3.530500
chr3L	4450000	2.215200
chr3L	4550000	4.084300
chr3L	4650000	6.576400
chr3L	4750000	2.215200
chr3L	4850000	2.146000
chr3L	4950000	3.115100
chr3L	5050000	5.053400
chr3L	5156900	1.522900
chr3L	5256900	5.122700
chr3L	5356900	2.630500
chr3L	5456900	1.730600
chr3L	5556900	1.869000
chr3L	5656900	1.799800
chr3L	5756900	2.353600
chr3L	5856900	2.769000
chr3L	5956900	1.453700
chr3L	6056900	0.899900
chr3L	6156900	1.315200
chr3L	6256900	0.899900
chr3L	6356900	2.146000
chr3L	6456900	1.038300
chr3L	6556900	3.184300
chr3L	6656900	0.692200
chr3L	6756900	1.384500
chr3L	6856900	1.661400
chr3L	6956900	3.115100
chr3L	7056900	2.630500
chr3L	7156900	5.122700
chr3L	7256900	3.322800
chr3L	7356900	1.938300
chr3L	7456900	3.115100
chr3L	7556900	2.007500
chr3L	7656900	1.107600
chr3L	7756900	0.830700
chr3L	7856900	3.253600
chr3L	7956900	2.699800
chr3L	8056900	4.430400
chr3L	8156900	1.869000
chr3L	8256900	1.938300
chr3L	8356900	2.215200
chr3L	8456900	2.630500
chr3L	8556900	3.876600
chr3L	8656900	3.668900
chr3L	8756900	3.876600
chr3L	8856900	2.630500
chr3L	8956900	1.453700
chr3L	9056900	1.107600
chr3L	9156900	5.053400
chr3L	9256900	7.822500
chr3L	9356900	2.907400
chr3L	9456900	0.692200
chr3L	9556900	3.668900
chr3L	9656900	3.184300
chr3L	9756900	3.392000
chr3L	9856900	1.107600
chr3L	9956900	2.561300
chr3L	10056900	1.038300
chr3L	10156900	2.907400
chr3L	10256900	1.176800
chr3L	10356900	2.076700
chr3L	10456900	5.261100
chr3L	10556900	7.545600
chr3L	10656900	3.461200
chr3L	10756900	3.945800
chr3L	10856900	3.530500
chr3L	10956900	4.292000
chr3L	11056900	4.222700
chr3L	11156900	3.115100
chr3L	11256900	4.084300
chr3L	11356900	3.045900
chr3L	11456900	3.184300
chr3L	11556900	2.769000
chr3L	11656900	0.623000
chr3L	11756900	0.415300
chr3L	11856900	1.661400
chr3L	11956900	1.869000
chr3L	12056900	3.461200
chr3L	12156900	1.453700
chr3L	12256900	1.592100
chr3L	12356900	2.215200
chr3L	12456900	5.953400
chr3L	12556900	6.507200
chr3L	12656900	4.222700
chr3L	12756900	2.215200
chr3L	12856900	3.392000
chr3L	12956900	2.630500
chr3L	13056900	1.869000
chr3L	13156900	2.215200
chr3L	13256900	1.869000
chr3L	13356900	1.522900
chr3L	13456900	1.315200
chr3L	13556900	1.453700
chr3L	13656900	0.484500
chr3L	13756900	0.692200
chr3L	13856900	1.246000
chr3L	13956900	3.253600
chr3L	14056900	1.938300
chr3L	14156900	0.969100
chr3L	14256900	2.284400
chr3L	14356900	1.384500
chr3L	14456900	0.899900
chr3L	14556900	1.107600
chr3L	14656900	0.346100
chr3L	14756900	0.484500
chr3L	14856900	0.761400
chr3L	14956900	0.346100
chr3L	15056900	0.761400
chr3L	15156900	1.038300
chr3L	15256900	1.592100
chr3L	15356900	1.453700
chr3L	15456900	1.661400
chr3L	15556900	1.246000
chr3L	15656900	1.522900
chr3L	15756900	3.668900
chr3L	15856900	0.761400
chr3L	15956900	2.492100
chr3L	16056900	1.176800
chr3L	16156900	2.353600
chr3L	16256900	0.553800
chr3L	16356900	1.522900
chr3L	16456900	3.322800
chr3L	16556900	2.146000
chr3L	16656900	0.899900
chr3L	16756900	1.176800
chr3L	16856900	1.453700
chr3L	16956900	0.761400
chr3L	17056900	1.453700
chr3L	17156900	3.599700
chr3L	17256900	3.322800
chr3L	17356900	1.869000
chr3L	17456900	1.592100
chr3L	17556900	2.146000
chr3L	17656900	1.315200
chr3L	17756900	0.276900
chr3L	17856900	0.138400
chr3L	17956900	1.315200
chr3L	18056900	0.692200
chr3L	18156900	1.799800
chr3L	18256900	0.830700
chr3L	18356900	0.069200
chr3L	18456900	0.138400
chr3L	18556900	1.315200
chr3L	18656900	0.484500
chr3L	18756900	0.692200
chr3L	18856900	1.038300
chr3L	18956900	2.146000
chr3L	19056900	0.899900
chr3L	19156900	0.830700
chr3L	19256900	0.692200
chr3L	19356900	0.484500
chr3L	19456900	2.769000
chr3L	19556900	0.415300
chr3L	19656900	2.353600
chr3L	19756900	0.415300
chr3L	19856900	0.415300
chr3L	19956900	2.976700
chr3L	20056900	0.207600
chr3L	20156900	0.138400
chr3L	20256900	0.000000
chr3L	20356900	1.384500
chr3L	20456900	0.138400
chr3L	20556900	0.415300
chr3L	20656900	0.346100
chr3L	20756900	0.000000
chr3L	20856900	0.207600
chr3L	20956900	0.138400
chr3L	21056900	0.276900
chr3L	21156900	0.069200
chr3L	21256900	0.069200
chr3L	21356900	0.138400
chr3L	21456900	0.069200
chr3L	21556900	0.000000
chr3L	21656900	0.346100
chr3L	21756900	1.176800
chr3L	21856900	0.000000
chr3L	21956900	0.138400
chr3L	22056900	0.000000
chr3L	22156900	0.000000
chr3L	22256900	0.000000
chr3L	22356900	0.138400
chr3L	22456900	0.069200
chr3L	22556900	0.000000
chr3L	22656900	0.000000
chr3L	22756900	0.000000
chr3L	22856900	0.069200
chr3L	22956900	0.276900
chr3L	23056900	0.000000
chr3L	23156900	0.069200
chr3L	23256900	0.000000
chr3L	23356900	0.000000
chr3L	23456900	0.000000
chr3L	23556900	0.069200
chr3L	23656900	0.000000
chr3L	23756900	0.069200
chr3L	23856900	0.138400
chr3L	23956900	0.000000
chr3L	24056900	0.069200
chr3L	24156900	0.000000
chr3L	24256900	0.000000
chr3L	24356900	0.000000
chr3L	24456900	0.000000
chr3L	24528679	0.000000
