Chromosome	Position(bp)	Rate(cM/Mb)
chr3R	4224278	0.000000
chr3R	4324278	0.000000
chr3R	4424278	0.000000
chr3R	4524278	0.000000
chr3R	4624278	0.000000
chr3R	4724278	0.000000
chr3R	4824278	0.000000
chr3R	4924278	0.108800
chr3R	5024278	0.000000
chr3R	5124278	0.000000
chr3R	5224278	0.000000
chr3R	5324278	0.000000
chr3R	5424278	0.000000
chr3R	5524278	0.000000
chr3R	5624278	0.000000
chr3R	5724278	0.000000
chr3R	5824278	0.000000
chr3R	5924278	0.108800
chr3R	6024278	0.000000
chr3R	6124278	0.108800
chr3R	6224278	0.000000
chr3R	6324278	0.217600
chr3R	6424278	0.000000
chr3R	6524278	0.000000
chr3R	6624278	0.326400
chr3R	6724278	0.000000
chr3R	6824278	0.000000
chr3R	6924278	0.326400
chr3R	7024278	0.217600
chr3R	7124278	0.108800
chr3R	7224278	0.000000
chr3R	7324278	0.000000
chr3R	7424278	0.326400
chr3R	7524278	0.652800
chr3R	7624278	0.217600
chr3R	7724278	0.108800
chr3R	7824278	1.088100
chr3R	7924278	0.761600
chr3R	8024278	1.958600
chr3R	8124278	0.108800
chr3R	8224278	0.761600
chr3R	8324278	0.979300
chr3R	8424278	1.849800
chr3R	8524278	2.720300
chr3R	8624278	0.544000
chr3R	8724278	0.000000
chr3R	8824278	0.326400
chr3R	8924278	1.088100
chr3R	9024278	2.176200
chr3R	9124278	0.326400
chr3R	9224278	1.305700
chr3R	9324278	0.979300
chr3R	9424278	0.217600
chr3R	9524278	0.000000
chr3R	9624278	0.761600
chr3R	9724278	0.435200
chr3R	9824278	0.870500
chr3R	9924278	1.305700
chr3R	10024278	1.414500
chr3R	10124278	0.326400
chr3R	10224278	0.217600
chr3R	10324278	0.108800
chr3R	10424278	0.544000
chr3R	10524278	0.544000
chr3R	10624278	1.196900
chr3R	10724278	0.979300
chr3R	10824278	0.979300
chr3R	10924278	1.088100
chr3R	11024278	0.979300
chr3R	11124278	3.808400
chr3R	11224278	0.870500
chr3R	11324278	2.829100
chr3R	11424278	1.849800
chr3R	11524278	2.720300
chr3R	11624278	1.196900
chr3R	11724278	1.305700
chr3R	11824278	1.088100
chr3R	11924278	0.761600
chr3R	12024278	0.652800
chr3R	12124278	1.741000
chr3R	12224278	1.305700
chr3R	12324278	1.741000
chr3R	12424278	0.652800
chr3R	12524278	0.326400
chr3R	12624278	2.502700
chr3R	12724278	1.632200
chr3R	12824278	0.435200
chr3R	12924278	1.305700
chr3R	13024278	2.641200
chr3R	13124278	3.046700
chr3R	13224278	0.870500
chr3R	13324278	0.326400
chr3R	13424278	0.761600
chr3R	13524278	0.870500
chr3R	13624278	0.544000
chr3R	13724278	0.870500
chr3R	13824278	1.849800
chr3R	13924278	3.046700
chr3R	14024278	7.508100
chr3R	14124278	3.264400
chr3R	14224278	1.958600
chr3R	14324278	1.632200
chr3R	14424278	8.052200
chr3R	14524278	1.958600
chr3R	14624278	1.632200
chr3R	14724278	3.264400
chr3R	14824278	0.870500
chr3R	14924278	1.958600
chr3R	15024278	3.917300
chr3R	15124278	4.026100
chr3R	15224278	1.849800
chr3R	15324278	2.720300
chr3R	15424278	5.440700
chr3R	15524278	2.611500
chr3R	15624278	0.761600
chr3R	15724278	3.699600
chr3R	15824278	2.829100
chr3R	15924278	1.741000
chr3R	16024278	0.761600
chr3R	16124278	1.958600
chr3R	16224278	1.305700
chr3R	16324278	0.761600
chr3R	16424278	1.741000
chr3R	16524278	1.849800
chr3R	16624278	0.652800
chr3R	16724278	1.414500
chr3R	16824278	0.761600
chr3R	16924278	0.435200
chr3R	17024278	0.761600
chr3R	17124278	1.414500
chr3R	17224278	1.741000
chr3R	17324278	0.544000
chr3R	17424278	1.741000
chr3R	17524278	1.523300
chr3R	17624278	1.632200
chr3R	17724278	3.264400
chr3R	17824278	0.544000
chr3R	17924278	1.958600
chr3R	18024278	4.352500
chr3R	18124278	2.067400
chr3R	18224278	8.378600
chr3R	18324278	3.808400
chr3R	18424278	1.523300
chr3R	18524278	4.679000
chr3R	18624278	2.937900
chr3R	18724278	1.414500
chr3R	18824278	4.134900
chr3R	18924278	8.922700
chr3R	19024278	3.808400
chr3R	19124278	2.937900
chr3R	19224278	7.181700
chr3R	19324278	14.798700
chr3R	19424278	4.461300
chr3R	19524278	2.611500
chr3R	19624278	5.331800
chr3R	19724278	1.414500
chr3R	19824278	4.352500
chr3R	19924278	1.523300
chr3R	20024278	5.875900
chr3R	20124278	4.134900
chr3R	20224278	5.223000
chr3R	20324278	13.057600
chr3R	20424278	1.196900
chr3R	20524278	2.176200
chr3R	20624278	0.652800
chr3R	20724278	1.523300
chr3R	20824278	1.305700
chr3R	20924278	2.611500
chr3R	21024278	1.088100
chr3R	21124278	3.155600
chr3R	21224278	3.590800
chr3R	21324278	0.435200
chr3R	21424278	0.108800
chr3R	21524278	2.829100
chr3R	21624278	0.979300
chr3R	21724278	2.829100
chr3R	21824278	5.658300
chr3R	21924278	3.482000
chr3R	22024278	3.046700
chr3R	22124278	4.026100
chr3R	22224278	3.808400
chr3R	22324278	2.176200
chr3R	22424278	1.958600
chr3R	22524278	3.482000
chr3R	22624278	2.502700
chr3R	22724278	4.896600
chr3R	22824278	4.787800
chr3R	22924278	1.958600
chr3R	23024278	2.937900
chr3R	23124278	3.155600
chr3R	23224278	3.264400
chr3R	23324278	3.808400
chr3R	23424278	6.311200
chr3R	23524278	1.632200
chr3R	23624278	5.331800
chr3R	23724278	2.937900
chr3R	23824278	2.067400
chr3R	23924278	2.611500
chr3R	24024278	1.414500
chr3R	24124278	1.849800
chr3R	24224278	1.088100
chr3R	24324278	1.414500
chr3R	24424278	2.720300
chr3R	24524278	5.875900
chr3R	24624278	2.611500
chr3R	24724278	3.699600
chr3R	24824278	3.046700
chr3R	24924278	2.937900
chr3R	25024278	2.067400
chr3R	25124278	3.046700
chr3R	25224278	2.393900
chr3R	25324278	1.196900
chr3R	25424278	1.632200
chr3R	25524278	2.611500
chr3R	25624278	2.829100
chr3R	25724278	0.435200
chr3R	25824278	2.176200
chr3R	25924278	2.393900
chr3R	26024278	2.720300
chr3R	26124278	0.761600
chr3R	26224278	1.196900
chr3R	26324278	2.502700
chr3R	26424278	0.979300
chr3R	26524278	0.870500
chr3R	26624278	1.632200
chr3R	26724278	3.699600
chr3R	26824278	3.590800
chr3R	26924278	3.373200
chr3R	27024278	0.326400
chr3R	27124278	2.829100
chr3R	27224278	4.243700
chr3R	27324278	1.849800
chr3R	27424278	5.223000
chr3R	27524278	2.502700
chr3R	27624278	1.523300
chr3R	27724278	3.590800
chr3R	27824278	4.352500
chr3R	27924278	4.896600
chr3R	28024278	1.414500
chr3R	28124278	6.311200
chr3R	28224278	0.979300
chr3R	28324278	1.632200
chr3R	28424278	1.741000
chr3R	28524278	0.761600
chr3R	28624278	0.870500
chr3R	28724278	3.155600
chr3R	28824278	1.741000
chr3R	28924278	2.176200
chr3R	29024278	1.196900
chr3R	29124278	1.632200
chr3R	29224278	0.870500
chr3R	29324278	7.508100
chr3R	29424278	2.937900
chr3R	29524278	5.114200
chr3R	29624278	1.741000
chr3R	29724278	1.632200
chr3R	29824278	2.393900
chr3R	29924278	2.393900
chr3R	30024278	2.067400
chr3R	30124278	1.305700
chr3R	30224278	2.829100
chr3R	30324278	3.699600
chr3R	30424278	1.305700
chr3R	30524278	0.652800
chr3R	30624278	1.088100
chr3R	30724278	1.414500
chr3R	30824278	0.652800
chr3R	30924278	0.761600
chr3R	31024278	0.979300
chr3R	31124278	1.632200
chr3R	31224278	0.544000
chr3R	31324278	0.108800
chr3R	31424278	0.000000
chr3R	31524278	0.217600
chr3R	31624278	0.000000
chr3R	31724278	0.000000
chr3R	31824278	0.000000
chr3R	31924278	0.000000
chr3R	32024278	0.000000
chr3R	32076805	0.000000
